url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,price_per_sqm,Price_per_sqm_land
https://immovlan.be/en/detail/studio/for-sale/4000/liege/vbd20021,vbd20021,175000.0,New,On contract,0.0,51.0,,,,,,,1.0,,1.0,,,,,0.0,,0.0,,,,studio,4000,liege,Wallonia,Liege,3431.372549019608,
https://immovlan.be/en/detail/apartment/for-sale/1410/waterloo/vbd30235,vbd30235,415000.0,New,On contract,1.0,70.0,0.0,,1.0,,Super equipped,,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,20.0,,1.0,apartment,1410,waterloo,Wallonia,Walloon Brabant,5928.571428571428,
https://immovlan.be/en/detail/residence/for-sale/1501/buizingen/vbd46297,vbd46297,399000.0,,,2.0,129.0,,,1.0,,,,1.0,1.0,1.0,Gas,Double glass,,4.0,1.0,,,,,,residence,1501,buizingen,Flanders,Flemish Brabant,3093.0232558139537,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbd36813,vbd36813,229000.0,New,,2.0,82.0,,,,,,,,,,,,1.0,3.0,0.0,,1.0,8.0,,,apartment,7000,mons,Wallonia,Hainaut,2792.682926829268,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbb60643,vbb60643,320000.0,New,,3.0,106.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,6.0,,,apartment,7000,mons,Wallonia,Hainaut,3018.867924528302,
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd46661,vbd46661,185000.0,Excellent,,1.0,56.0,0.0,,,,,,,1.0,1.0,Gas,,1.0,4.0,0.0,,1.0,7.0,,,apartment,1400,nivelles,Wallonia,Walloon Brabant,3303.5714285714284,
https://immovlan.be/en/detail/residence/for-sale/6830/bouillon/vbd11776,vbd11776,190000.0,,,5.0,142.0,0.0,1.0,1.0,1.0,,,,1.0,3.0,Fuel oil,,0.0,3.0,1.0,,1.0,,320.0,,residence,6830,bouillon,Wallonia,Luxembourg,1338.0281690140846,593.75
https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd48568,vbd48568,,New,,4.0,167.0,0.0,,,,Super equipped,,3.0,,3.0,,Double glass,,3.0,1.0,,1.0,,,,apartment,1300,wavre,Wallonia,Walloon Brabant,,
https://immovlan.be/en/detail/apartment/for-sale/1480/tubize/vbd36992,vbd36992,329000.0,New,,3.0,113.0,,,,,,,,,,,,1.0,2.0,0.0,,1.0,9.0,,,apartment,1480,tubize,Wallonia,Walloon Brabant,2911.504424778761,
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64988,rbu64988,327850.0,To be renovated,On contract,3.0,185.0,0.0,1.0,1.0,1.0,Super equipped,,1.0,1.0,2.0,Fuel oil,Double glass,0.0,4.0,1.0,315.0,1.0,21.0,683.0,0.0,residence,9810,nazareth,Flanders,East Flanders,1772.162162162162,480.0146412884334
https://immovlan.be/en/detail/investment-property/for-sale/8560/wevelgem/rbu62634,rbu62634,1475000.0,New,On contract,12.0,,,,1.0,6.0,Super equipped,,6.0,6.0,12.0,Hot air,Double glass,0.0,4.0,,,1.0,,624.0,,investment-property,8560,wevelgem,Flanders,West Flanders,,2363.7820512820513
https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd46746,vbd46746,679000.0,New,On contract,3.0,150.0,,,,,,Independent,2.0,5.0,,Gas,Double glass,1.0,2.0,0.0,,1.0,6.0,,0.0,apartment,1170,watermaal-bosvoorde,Brussels,Brussels,4526.666666666667,
https://immovlan.be/en/detail/apartment/for-sale/8900/ieper/rbt86438,rbt86438,224250.0,New,,1.0,71.0,,0.0,1.0,,,,1.0,,1.0,,Double glass,1.0,2.0,0.0,,1.0,,,0.0,apartment,8900,ieper,Flanders,West Flanders,3158.450704225352,
https://immovlan.be/en/detail/apartment/for-sale/6790/aubange/vbd34109,vbd34109,229900.0,Excellent,Immediately,2.0,77.0,0.0,,1.0,,Fully equipped,Western kitchen,1.0,,1.0,,Triple glass,1.0,4.0,0.0,,0.0,,,0.0,apartment,6790,aubange,Wallonia,Luxembourg,2985.714285714286,
https://immovlan.be/en/detail/residence/for-sale/5001/belgrade/vbc54869,vbc54869,365000.0,New,,3.0,203.0,0.0,1.0,1.0,1.0,Not equipped,,,1.0,2.0,Gas,,0.0,2.0,1.0,,1.0,,298.0,,residence,5001,belgrade,Wallonia,Namur,1798.0295566502464,1224.8322147651006
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbc71246,vbc71246,,New,,1.0,69.0,0.0,,,,,,1.0,,1.0,Hot air,Double glass,1.0,4.0,0.0,,1.0,6.0,,0.0,apartment,5000,namur,Wallonia,Namur,,
https://immovlan.be/en/detail/apartment/for-sale/1982/elewijt/rbu46377,rbu46377,537720.0,New,On contract,3.0,170.0,0.0,,1.0,,,,1.0,,2.0,Gas,,1.0,4.0,1.0,,1.0,21.0,,,apartment,1982,elewijt,Flanders,Flemish Brabant,3163.0588235294117,
https://immovlan.be/en/detail/apartment/for-sale/9600/ronse/rbu41545,rbu41545,199000.0,Excellent,On contract,1.0,83.0,,,,,,,1.0,1.0,1.0,Gas,Double glass,1.0,2.0,1.0,,1.0,11.0,,,apartment,9600,ronse,Flanders,East Flanders,2397.590361445783,
https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu61502,rbu61502,460000.0,,,4.0,178.0,,,,,,,1.0,,2.0,,,,,1.0,355.0,0.0,,,,residence,9420,erpe-mere,Flanders,East Flanders,2584.2696629213483,
