Property ID,Price,State of the property,Number of bedrooms,Livable surface,Garage,Number of garages,Type of heating,Type of glazing,Elevator,Garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,main_type,price_per_sqm,Price_per_sqm_land
vbd20021,175000.0,New,0.0,51.0,,,,,,0.0,0.0,,,,studio,4000,liege,Wallonia,Liege,apartment,3431.372549019608,
vbd30235,415000.0,New,1.0,70.0,1.0,,,,1.0,1.0,1.0,20.0,,1.0,apartment,1410,waterloo,Wallonia,Brabant Walloon,apartment,5928.571428571428,
vbd46297,399000.0,,2.0,129.0,1.0,,Gas,Double glass,,1.0,,,,,residence,1501,buizingen,Flanders,Brabant Flemish,house,3093.0232558139537,
vbd36813,229000.0,New,2.0,82.0,,,,,1.0,0.0,1.0,8.0,,,apartment,7000,mons,Wallonia,Hainaut,apartment,2792.682926829268,
vbb60643,320000.0,New,3.0,106.0,,,,,,1.0,1.0,6.0,,,apartment,7000,mons,Wallonia,Hainaut,apartment,3018.867924528302,
vbd46661,185000.0,Excellent,1.0,56.0,,,Gas,,1.0,0.0,1.0,7.0,,,apartment,1400,nivelles,Wallonia,Brabant Walloon,apartment,3303.5714285714284,
vbd11776,190000.0,,5.0,142.0,1.0,1.0,Fuel oil,,0.0,1.0,1.0,,320.0,,residence,6830,bouillon,Wallonia,Luxembourg,house,1338.0281690140846,593.75
vbd48568,,New,4.0,167.0,,,,Double glass,,1.0,1.0,,,,apartment,1300,wavre,Wallonia,Brabant Walloon,apartment,,
vbd36992,329000.0,New,3.0,113.0,,,,,1.0,0.0,1.0,9.0,,,apartment,1480,tubize,Wallonia,Brabant Walloon,apartment,2911.504424778761,
rbu64988,327850.0,To be renovated,3.0,185.0,1.0,1.0,Fuel oil,Double glass,0.0,1.0,1.0,21.0,683.0,0.0,residence,9810,nazareth,Flanders,East Flanders,house,1772.162162162162,480.0146412884334
rbu62634,1475000.0,New,12.0,,1.0,6.0,Hot air,Double glass,0.0,,1.0,,624.0,,investment-property,8560,wevelgem,Flanders,West Flanders,investment property,,2363.7820512820513
vbd46746,679000.0,New,3.0,150.0,,,Gas,Double glass,1.0,0.0,1.0,6.0,,0.0,apartment,1170,watermaal-bosvoorde,Brussels,Brussels,apartment,4526.666666666667,
rbt86438,224250.0,New,1.0,71.0,1.0,,,Double glass,1.0,0.0,1.0,,,0.0,apartment,8900,ieper,Flanders,West Flanders,apartment,3158.450704225352,
vbd34109,229900.0,Excellent,2.0,77.0,1.0,,,Triple glass,1.0,0.0,0.0,,,0.0,apartment,6790,aubange,Wallonia,Luxembourg,apartment,2985.714285714286,
vbc54869,365000.0,New,3.0,203.0,1.0,1.0,Gas,,0.0,1.0,1.0,,298.0,,residence,5001,belgrade,Wallonia,Namur,house,1798.0295566502464,1224.8322147651006
vbc71246,,New,1.0,69.0,,,Hot air,Double glass,1.0,0.0,1.0,6.0,,0.0,apartment,5000,namur,Wallonia,Namur,apartment,,
rbu46377,537720.0,New,3.0,170.0,1.0,,Gas,,1.0,1.0,1.0,21.0,,,apartment,1982,elewijt,Flanders,Brabant Flemish,apartment,3163.0588235294117,
