Actual,Predicted
899000.0,777050.575
79000.0,224136.0
220000.0,225145.8333333333
320000.0,212114.12833333333
495000.0,548747.7295833334
485000.0,474508.94
1695000.0,1474277.5
310000.0,301360.075
415000.0,403267.215
235000.0,215471.5
391500.0,391958.09166666673
549000.0,629886.3566666667
175000.0,108490.0
304591.0,309014.0029166667
532500.0,474671.5416666666
149000.0,212438.025
419368.0,393399.6927619048
237000.0,237192.98690476193
399950.0,352360.5283333334
300000.0,301418.0802806333
399000.0,339110.6666666666
460000.0,382417.795
100000.0,214088.0
479000.0,455881.3833333333
245000.0,367720.9966666667
415000.0,342126.5
365000.0,401552.5
1440000.0,1291765.0
422500.0,576392.1016666667
265000.0,223651.49
375000.0,380507.5
445000.0,461753.1444444444
278900.0,287744.6666666666
620000.0,603323.5
345000.0,356872.4125
399000.0,351565.605
575000.0,1194610.0
380000.0,348289.65
315000.0,316725.0
235000.0,374840.3983333334
268000.0,273223.5832609341
975000.0,928452.0833333333
369000.0,354911.14666666667
920000.0,599343.3916666667
475000.0,369063.14125
174900.0,236894.52
533000.0,491505.86
135000.0,159302.04
430000.0,416331.3083333334
210000.0,301243.49
240500.0,203433.13095238095
389000.0,360320.9
254000.0,311355.1041666667
243000.0,218805.32142857145
499000.0,571985.455
156000.0,155895.0
229000.0,268838.58
295000.0,294118.61363636365
309000.0,304799.00666666665
325000.0,488229.995
520000.0,482231.09
185000.0,150112.7675
375000.0,484194.595
299000.0,270045.53
365000.0,346675.35
334000.0,314172.27428571426
899000.0,889193.2333333334
345795.0,323542.01237458194
290000.0,248842.91666666663
125000.0,235258.165
995000.0,313180.0
325000.0,253169.0
675000.0,548323.21
585000.0,559364.055
129000.0,119104.14
24000.0,169976.95
391887.0,375180.8168809524
130000.0,147168.89
89000.0,183351.66666666663
420835.0,422081.2275
135681.0,245362.55
1350000.0,1134386.695
185530.0,137938.14
246900.0,259643.09333333332
225000.0,474386.69
199000.0,194002.98
325500.0,160150.605
327700.0,323511.8766666667
198000.0,202214.985
260000.0,359897.3076923077
210000.0,594159.08
345400.0,430214.73166666663
180000.0,212176.1
20000.0,155175.29166666666
331300.0,209182.26666666663
295000.0,311799.22801587306
117300.0,111486.5
435000.0,403373.78
315000.0,363829.855
278000.0,306726.12
427000.0,427552.32
437500.0,440562.0
220000.0,283200.7
756000.0,651428.9884285715
259900.0,260701.1925
22000.0,72137.5
675000.0,335822.78
399000.0,530554.3516666667
398500.0,365772.9366666667
395000.0,614196.815
99000.0,97052.5
229000.0,233980.7857142857
247500.0,295638.73611111107
449000.0,337478.5
370000.0,472792.69
229000.0,320380.5
219000.0,267066.47
240000.0,316025.0
291300.0,298784.81
283280.0,280418.4435714286
339000.0,350289.395
298000.0,297844.895
249500.0,249167.5
109000.0,135137.39
495000.0,628452.5
416000.0,394205.18083333335
500900.0,479908.2116666667
295000.0,308944.4779761905
530000.0,485060.89
800000.0,364458.25
249000.0,186672.0
299000.0,301732.89722222224
445000.0,463364.19375
310000.0,309358.07666666666
525000.0,333755.6141666667
599000.0,580639.25
463000.0,466707.0966666666
343782.0,336541.89416666667
260000.0,313394.495
278000.0,293324.285
183000.0,183871.14000000004
365000.0,323722.5
489000.0,703785.0
341140.0,346063.25
675000.0,505276.115
342599.0,339776.05
429000.0,409585.32309523807
249000.0,215160.995
350000.0,435007.5
565000.0,619865.6666666667
289900.0,277673.6216666667
360000.0,421195.315
380000.0,480348.585
100000.0,173643.0
310000.0,273641.4916666667
233000.0,219903.0253174604
155000.0,290551.2233333333
220000.0,220920.0
325000.0,336212.81
412826.0,400705.275
299979.0,366098.305
475000.0,220611.985
345000.0,310345.745
499000.0,573110.5
120000.0,128829.5
323552.0,320624.5269821428
399000.0,444375.0
399000.0,615730.25
425000.0,425766.66666666674
510000.0,513638.465
209000.0,179172.5
380000.0,358284.7783333334
80000.0,108978.33333333334
349000.0,428466.605
79500.0,256175.0
219628.0,203188.85161904767
345000.0,326167.565
685000.0,632590.0
499323.0,510267.84
70000.0,248915.58
275000.0,278913.975
265000.0,313009.61
349000.0,445710.83
745000.0,759336.5383333333
275000.0,355234.985
130000.0,116572.5
439000.0,394314.04761904763
399000.0,419503.89
599500.0,524218.8657142858
300000.0,386141.92785714293
220000.0,200706.5
214900.0,215235.58833333332
109000.0,167170.0
295000.0,337531.5
225000.0,389834.39
285000.0,332069.89166666666
395000.0,368667.0333333334
880000.0,389584.495
575000.0,522832.01
149000.0,224365.0
639000.0,547462.545
625000.0,590920.215
289000.0,296719.143875
425000.0,538575.0
135000.0,109175.0
515000.0,465818.6066666667
355000.0,371098.45333333337
975000.0,676068.78
655000.0,591031.5
315000.0,418456.2
265000.0,231383.54
400000.0,385694.465
195000.0,190950.0
365100.0,374714.16388888896
369210.0,360856.7433333333
